Price,Close,High,Low,Open,Volume
Ticker,XOM,XOM,XOM,XOM,XOM
Date,,,,,
2020-01-02,53.661712646484375,53.75253272206853,53.162179133092096,53.162179133092096,12456400
2020-01-03,53.23031234741211,54.017452573970026,53.10164669412257,53.99474177537081,17386900
2020-01-06,53.639007568359375,54.00986968356483,53.15461458437923,53.222729640992135,20081900
2020-01-07,53.20002746582031,53.37410313608249,52.609673845939604,53.3589683808328,17387700
2020-01-08,52.39775085449219,53.200025667266736,52.35233504143818,53.063789776944645,15137700
2020-01-09,52.798892974853516,52.90485359073993,51.94363200808682,52.329634694199044,14811800
2020-01-10,52.32963180541992,52.95026071038824,52.31449705016613,52.927555690297474,11995600
2020-01-13,52.82917022705078,52.88215053696521,52.306931619022336,52.37504668558916,9953900
2020-01-14,52.37504196166992,52.662654281910775,52.14041572098516,52.511277856936594,16261000
2020-01-15,52.291786193847656,52.6702185933669,52.14041554380802,52.3750417836955,11390300
2020-01-16,52.08743667602539,52.662655556003465,52.0723019203719,52.45073433033268,13340300
2020-01-17,51.890655517578125,52.28422849789917,51.68630453602671,52.034461695897846,18144100
2020-01-21,51.148929595947266,51.784693318698125,51.09594928571803,51.75441803079274,17982600
2020-01-22,50.853755950927734,51.23975290351849,50.709949767950135,51.13379227640482,17033100
2020-01-23,50.53586196899414,50.656963113062154,49.99092414394919,50.490451927178825,19605900
2020-01-24,50.19527816772461,50.46774998407411,49.983356927101816,50.36178936376272,18238600
2020-01-27,48.999427795410156,49.74872813955644,48.9691525090832,49.51409611412761,21231000
2020-01-28,48.931312561035156,49.34758475413052,48.91617203071436,49.27946969094816,19664700
2020-01-29,48.52260971069336,49.29460937605816,48.36366877295416,49.21892404014726,14202800
2020-01-30,49.03727340698242,49.10538847048618,48.00793676828684,48.272838305946635,18544700
2020-01-31,47.01643371582031,47.83384896655826,46.819650166870254,47.83384896655826,34282900
2020-02-03,45.96440505981445,46.486640801751356,45.691933233687216,46.456368400012025,27389300
2020-02-04,45.38918685913086,46.85750365722612,45.32863628409502,46.509346512401,31922100
2020-02-05,47.47813034057617,47.62950388370302,45.86600744761407,45.979538326761755,32099200
2020-02-06,46.83479690551758,47.69005209223562,46.759108689518044,47.62950440664621,16055400
2020-02-07,46.52448272705078,46.66828600752816,46.21416825754994,46.47906979716886,15112500
2020-02-10,46.03312301635742,46.46305317812606,45.77209451254426,46.43234325328695,20934500
2020-02-11,46.470733642578125,46.74711713526266,46.19435014989359,46.5091225166309,14908700
2020-02-12,47.03885269165039,47.238461352582384,46.493764686163296,47.09259359761899,17862100
2020-02-13,46.77783203125,47.15401843617827,46.493772490781275,46.877637842799636,16949400
2020-02-14,46.56287384033203,46.95441525676875,46.27881133783853,46.946739237437285,10855300
2020-02-18,45.97172927856445,46.36327076740606,45.641604741713586,46.17901698277275,18948500
2020-02-19,46.32487106323242,46.53983472441885,45.93332969054853,46.148293351734964,12804900
2020-02-20,45.956363677978516,46.47842082811477,45.84888184036113,46.240423238633106,14817200
2020-02-21,45.39591979980469,45.68765537444871,45.13489122919768,45.68765537444871,20315700
2020-02-24,43.26930236816406,44.37483351284202,43.26930236816406,44.236641753674746,32096600
2020-02-25,41.61099624633789,43.56870855607728,41.434418571911,43.56870855607728,36414500
2020-02-26,40.6973991394043,42.086992624861395,40.635982212312335,41.87970500468869,29801000
2020-02-27,38.24834442138672,40.259798097505566,38.23298945547311,39.699355020629945,48141300
2020-02-28,39.49205017089844,39.49205017089844,36.858734701331805,37.442211437243294,62446700
2020-03-02,41.36532211303711,41.37299812978937,39.25406313835663,40.374949018399604,38127600
2020-03-03,39.384578704833984,41.572612644839076,39.13890515017977,41.41906594101524,50580700
2020-03-04,40.24445343017578,40.29051833970467,39.24640381967157,40.0985856096592,24079600
2020-03-05,38.470985412597656,38.92394663764602,37.649513807136074,38.708980052576514,40788200
