Price,Close,High,Low,Open,Volume
Ticker,JPM,JPM,JPM,JPM,JPM
Date,,,,,
2020-01-02,119.03643798828125,119.044883142977,117.49248090319426,117.93963639588098,10803700
2020-01-03,117.46554565429688,118.22125092178655,116.39567471180096,116.7522983592996,10386800
2020-01-06,117.37218475341797,117.40615632595235,115.90323167209422,115.95417607453709,10259000
2020-01-07,115.37677764892578,117.05800754731382,115.32583325145303,116.56552344448149,10531300
2020-01-08,116.27684020996094,116.82026875850697,115.1390387108737,115.22394172874611,9695300
2020-01-09,116.70136260986328,117.37215198200148,116.36171176114672,117.21931881734534,9469000
2020-01-10,115.53809356689453,116.54003445646777,115.31731726784203,116.5060758484973,10190900
2020-01-13,116.49758911132812,116.49758911132812,115.27487179012046,115.63999488626077,12355200
2020-01-14,117.85617065429688,119.52041476331547,116.913660434674,117.1259373944417,24906000
2020-01-15,116.08999633789062,117.68632283008108,115.60599876920786,117.04949210688011,16293400
2020-01-16,116.54003143310547,117.09194625370739,116.19189416775089,116.70985038126335,10783800
2020-01-17,117.34669494628906,117.42311153848834,116.59948889530159,116.78628069078088,14697700
2020-01-21,116.19193267822266,117.23634482044469,116.06457166398071,116.48912565326656,8474200
2020-01-22,116.05604553222656,116.66740417234146,115.8013235624758,116.53155677392657,7549100
2020-01-23,115.93717956542969,116.10701149967672,114.39181002337033,115.23243145500606,9345700
2020-01-24,113.0586929321289,115.84376534523454,112.35394489372854,115.79282095270982,15166400
2020-01-27,112.10771942138672,112.8804107503833,110.1377957530104,110.61329412274402,12860500
2020-01-28,114.14556121826172,114.60408670945495,112.48980351419169,112.79548285620136,13062800
2020-01-29,113.97572326660156,115.08805228374071,113.51721080809696,114.46820728876152,9326000
2020-01-30,115.38524627685547,115.58903679169038,112.66810419416709,112.66810419416709,9048900
2020-01-31,112.38790893554688,114.48520623822883,111.63220351173867,114.19651269573059,12785200
2020-02-03,113.2455062866211,113.98423890347024,112.64264698742977,112.64264698742977,10021100
2020-02-04,114.87578582763672,115.98812790250733,114.69748044943947,115.09656214245152,9157100
2020-02-05,116.8287353515625,116.94760992150181,115.48714351575809,115.96265475187172,10150700
2020-02-06,116.84571838378906,117.42310543665562,116.42116450737915,117.3806604140995,8992300
2020-02-07,116.47212219238281,116.89667611724666,115.73340250915416,116.09851266548542,6379800
2020-02-10,116.95612335205078,117.04952573654332,116.11550189161784,116.28532087532484,5960700
2020-02-11,117.17686462402344,117.8731391691009,116.9900598902883,117.39762796554884,6578600
2020-02-12,117.17686462402344,118.27220787514723,117.00704567236117,117.68633443536575,7958000
2020-02-13,117.07499694824219,117.46557931183625,115.81830797542848,116.96460877940316,7447500
2020-02-14,116.71834564208984,117.33819061140889,116.2768060273363,117.04099774532665,6627600
2020-02-18,115.17296600341797,116.93062513237597,114.67199557823523,116.6164464782546,8996400
2020-02-19,116.74382781982422,117.50801960317015,115.76734614515341,116.25134377593349,7071200
