Date,AAPL,ABBV,ADBE,AMD,AMGN,AMZN,AXP,BA,BAC,BLK,BMY,C,CAT,CMCSA,COP,COST,CRM,CVX,DE,DHR,DIS,DUK,EOG,GE,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,LLY,MCD,META,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,QCOM,RTX,SBUX,SCHW,SLB,T,TMO,UNH,UNP,USB,VZ,WFC,WMT,XOM
2021-01-04,125.8567123413086,86.04737854003906,485.3399963378906,92.30000305175781,192.30992126464844,159.3314971923828,110.72267150878906,202.72000122070312,26.464052200317383,626.9981079101562,50.33220291137695,50.04447555541992,165.2433624267578,40.224327087402344,32.79519271850586,359.19781494140625,217.66531372070312,67.82914733886719,250.00360107421875,193.1905059814453,173.5919952392578,73.12187957763672,38.80382537841797,50.93749237060547,85.5990219116211,234.0880889892578,232.1048126220703,176.1168212890625,95.7895736694336,44.90293884277344,135.05967712402344,110.0519027709961,45.08197021484375,156.7943115234375,186.4956817626953,266.845947265625,65.42808532714844,57.93297576904297,208.40650939941406,64.86946105957031,52.2859992980957,129.60507202148438,13.076018333435059,59.305763244628906,122.55789947509766,28.36776351928711,132.48699951171875,60.81133270263672,91.53047180175781,49.260986328125,19.601675033569336,15.702638626098633,465.20501708984375,319.6621398925781,180.57171630859375,36.844451904296875,42.87123489379883,26.340194702148438,45.54106140136719,33.69379425048828
2021-01-05,127.41278839111328,86.93716430664062,485.69000244140625,92.7699966430664,193.2432098388672,160.92550659179688,111.3135986328125,211.6300048828125,26.666730880737305,630.3146362304688,50.47160720825195,51.34260177612305,166.5950469970703,39.98432922363281,34.67653274536133,355.0308532714844,218.86077880859375,69.66278839111328,256.2060546875,197.98500061035156,174.3345184326172,73.15447235107422,41.96354293823242,52.397029876708984,86.28931427001953,239.32635498046875,233.97801208496094,176.5487823486328,97.48990631103516,45.75272750854492,136.6475830078125,110.65074920654297,44.58638381958008,157.57118225097656,187.61349487304688,268.860107421875,65.54121398925781,58.91646957397461,208.60757446289062,65.35016632080078,52.08000183105469,130.65040588378906,13.366436004638672,58.570838928222656,122.92317199707031,28.66060447692871,135.99319458007812,61.69111251831055,91.83233642578125,49.27033233642578,20.655431747436523,15.606633186340332,471.02227783203125,315.3634033203125,182.78651428222656,36.964290618896484,42.67455291748047,27.076303482055664,45.29863357543945,35.31758117675781
2021-01-06,123.12386322021484,86.18616485595703,466.30999755859375,90.33000183105469,197.9012451171875,156.91900634765625,115.43145751953125,211.02999877929688,28.332305908203125,648.2915649414062,50.59461212158203,54.29667282104492,175.86643981933594,40.448326110839844,36.060611724853516,349.6260986328125,213.5552215576172,71.90483093261719,271.2264404296875,204.54495239257812,174.99887084960938,74.09999084472656,42.85075759887695,55.26742935180664,85.43785095214844,252.2409210205078,235.31484985351562,179.76702880859375,99.92443084716797,46.1956901550293,137.93345642089844,115.846435546875,43.16796112060547,155.67637634277344,187.18771362304688,261.259765625,66.57564544677734,62.46895217895508,203.19854736328125,68.54908752441406,50.04899978637695,131.6865234375,12.578444480895996,58.430763244628906,121.41950988769531,28.41400146484375,134.8869171142578,62.45537185668945,92.49817657470703,53.60260772705078,21.798492431640625,15.910658836364746,478.4072265625,328.5980224609375,186.61123657226562,39.153228759765625,43.1917724609375,28.9919490814209,45.58146286010742,36.21879577636719
2021-01-07,127.32522583007812,87.10858917236328,477.739990234375,95.16000366210938,198.55453491210938,158.10800170898438,114.5184097290039,212.7100067138672,28.95799446105957,661.9284057617188,51.13581466674805,54.93741226196289,176.2021026611328,40.528324127197266,37.04686737060547,347.641845703125,215.36328125,72.24111938476562,279.9789733886719,207.45281982421875,174.4713134765625,73.26858520507812,45.62135314941406,54.82957458496094,87.98976135253906,257.62939453125,234.16270446777344,180.06349182128906,99.69255828857422,47.18107604980469,138.3994903564453,119.6507339477539,42.68944549560547,157.10694885253906,188.05706787109375,266.6474609375,67.90103149414062,63.5372200012207,208.98094177246094,69.30072784423828,50.888999938964844,134.09170532226562,13.305859565734863,58.8976936340332,121.02877807617188,28.560422897338867,138.91061401367188,62.01103591918945,91.75243377685547,55.143184661865234,22.21820831298828,15.953326225280762,493.3152160644531,333.8663635253906,189.20848083496094,39.93613815307617,43.094581604003906,29.648237228393555,45.57834243774414,36.50294876098633
2021-01-08,128.4241943359375,87.56572723388672,485.1000061035156,94.58000183105469,202.3471221923828,159.13499450683594,114.63137817382812,209.89999389648438,28.66717529296875,667.2471923828125,51.2424201965332,54.396522521972656,176.2292938232422,41.232330322265625,37.04686737060547,349.5505676269531,219.3745574951172,72.92973327636719,274.5424499511719,210.7241973876953,174.5787811279297,73.39900207519531,45.8159065246582,55.17012023925781,89.15464782714844,256.2425537109375,236.65150451660156,177.87844848632812,99.33705139160156,46.69291687011719,138.11471557617188,119.78282928466797,43.646461486816406,157.6564483642578,191.50807189941406,265.486572265625,67.10096740722656,63.80003356933594,210.2542266845703,70.90892028808594,51.040000915527344,135.38687133789062,13.238801002502441,59.18717575073242,122.48143005371094,28.614370346069336,139.74925231933594,62.08211898803711,93.81208801269531,55.068485260009766,22.182491302490234,15.84330940246582,505.11749267578125,332.36627197265625,194.63426208496094,39.40088653564453,42.55709457397461,29.43538475036621,45.5721321105957,36.90890884399414
2021-01-11,125.43851470947266,88.9942855834961,474.239990234375,97.25,201.5665283203125,155.7104949951172,113.95360565185547,206.7899932861328,29.14305877685547,676.2708740234375,53.276039123535156,55.28689956665039,175.86643981933594,41.216331481933594,37.5938720703125,343.9473571777344,215.6300506591797,73.34612274169922,275.48602294921875,211.26943969726562,174.96957397460938,72.77953338623047,46.39182662963867,55.705284118652344,87.09466552734375,259.5551452636719,238.53359985351562,176.46405029296875,99.37568664550781,46.59346008300781,137.5364532470703,121.57050323486328,42.89452362060547,176.1591339111328,190.05316162109375,254.8401641845703,68.6930160522461,64.48678588867188,208.21510314941406,69.65035247802734,49.90999984741211,136.0344696044922,13.582565307617188,58.860328674316406,120.7059555053711,29.10757827758789,139.2764129638672,62.02878952026367,92.86215209960938,56.254268646240234,22.316436767578125,15.761414527893066,506.1528015136719,329.9516906738281,193.32672119140625,39.41685104370117,42.30675506591797,29.479734420776367,45.777259826660156,38.02933120727539
2021-01-12,125.26343536376953,89.61466979980469,471.6499938964844,95.36000061035156,200.7350616455078,156.04150390625,114.48074340820312,208.41000366210938,29.66299819946289,686.0267333984375,53.653255462646484,55.47830581665039,179.20486450195312,40.008323669433594,39.30118942260742,344.1268615722656,212.9328155517578,74.7394027709961,282.18353271484375,208.3009490966797,171.94088745117188,72.48609924316406,48.59428787231445,57.310760498046875,86.15938568115234,266.9576416015625,243.018798828125,176.9044647216797,99.86259460449219,48.130313873291016,136.46633911132812,123.48146057128906,42.817623138427734,169.39468383789062,187.719970703125,249.13490295410156,67.14944458007812,64.26636505126953,205.7642364501953,69.70277404785156,49.42499923706055,134.1842498779297,13.446206092834473,58.29069137573242,120.14527893066406,28.65289878845215,137.79539489746094,63.55729293823242,91.28189849853516,57.14126205444336,23.343408584594727,15.695905685424805,491.7771301269531,326.8601989746094,194.4741668701172,39.664512634277344,42.15951156616211,30.100542068481445,46.299400329589844,38.87370300292969
2021-01-13,127.29605102539062,91.79422760009766,472.04998779296875,91.77999877929688,201.71075439453125,158.29449462890625,115.21495056152344,207.2100067138672,29.486745834350586,687.7996826171875,53.079246520996094,55.63640213012695,177.70802307128906,40.12833023071289,38.977943420410156,346.7253112792969,215.5608673095703,74.66730499267578,281.3708801269531,207.5653839111328,172.06790161132812,74.6297836303711,47.061119079589844,56.28910446166992,86.64636993408203,267.6023864746094,241.01361083984375,175.3291778564453,98.09272003173828,51.48424530029297,136.25924682617188,123.59596252441406,42.86033630371094,175.74224853515625,188.15464782714844,249.68063354492188,66.54335021972656,64.06287384033203,207.11412048339844,71.52945709228516,50.77899932861328,132.32479858398438,13.493071556091309,57.954498291015625,121.13070678710938,28.406286239624023,140.44517517089844,62.65087127685547,91.34404754638672,55.563331604003906,22.73615837097168,15.619468688964844,494.6758728027344,324.72918701171875,192.6685028076172,39.55267333984375,42.01224899291992,29.976377487182617,45.82698440551758,39.312137603759766
2021-01-14,125.37042236328125,92.19062805175781,463.2699890136719,90.79000091552734,205.0367431640625,156.37350463867188,116.51393127441406,209.91000366210938,29.953811645507812,655.824462890625,54.13705825805664,57.42549514770508,179.07786560058594,39.66431427001953,39.674129486083984,342.37890625,213.01185607910156,76.46092224121094,282.8934631347656,204.847900390625,169.43978881835938,74.71131134033203,48.74089813232422,56.726959228515625,85.83656311035156,271.95733642578125,235.99195861816406,176.67578125,99.67711639404297,53.56349182128906,138.64109802246094,124.31805419921875,42.06568145751953,176.8696746826172,184.9698028564453,243.72735595703125,66.40593719482422,64.83440399169922,203.93568420410156,72.13255310058594,50.08599853515625,130.71517944335938,13.162519454956055,57.52492904663086,120.42562866210938,28.32151985168457,143.5052947998047,63.0418815612793,90.39411163330078,55.3952751159668,23.182668685913086,15.990711212158203,489.94317626953125,320.6041564941406,192.268310546875,39.36893081665039,41.997520446777344,30.81891632080078,45.67780685424805,40.846614837646484
2021-01-15,123.64904022216797,91.27391815185547,458.0799865722656,88.20999908447266,208.28628540039062,155.21249389648438,114.9796371459961,204.32000732421875,29.090179443359375,641.9404296875,54.56345748901367,53.4478874206543,176.55589294433594,38.952308654785156,37.39496612548828,342.1993408203125,210.58139038085938,73.73847198486328,275.9343566894531,204.89114379882812,167.49557495117188,75.0781021118164,46.35239791870117,55.1214714050293,85.67292022705078,265.8975830078125,242.3680419921875,174.43994140625,99.22885131835938,52.05378341674805,138.33908081054688,122.09010314941406,41.61281204223633,180.73504638671875,186.22073364257812,249.40284729003906,67.38380432128906,63.79155349731445,203.5814666748047,71.70426177978516,49.79800033569336,130.17861938476562,12.82274341583252,57.69302749633789,120.11128997802734,28.282983779907227,140.15072631835938,61.4955940246582,90.84689331054688,54.85374069213867,22.244998931884766,15.925199508666992,496.0858459472656,321.3085021972656,192.65965270996094,38.665916442871094,42.247859954833984,28.415481567382812,44.95365524291992,38.881813049316406
